persid,most_used_mode
Y24H5800216P01,Train
Y24H5800216P02,Vehicle Driver
Y24H5800216P03,Walking
Y24H5800217P01,Walking
Y24H5800217P02,Walking
Y24H5800217P03,Vehicle Driver
Y24H5800217P05,Train
Y24H5800218P01,Plane
Y24H5800218P02,Vehicle Driver
Y24H5800218P03,Vehicle Driver
Y24H5800218P04,Vehicle Passenger
Y24H5800219P01,Train
Y24H5800219P02,Train
Y24H5800219P03,Walking
Y24H5800219P04,Walking
Y24H5800224P01,Walking
Y24H5800224P02,Walking
Y24H5800224P03,Train
Y24H5800231P01,Vehicle Driver
Y24H5800231P02,Vehicle Driver
Y24H5800231P04,Vehicle Passenger
Y24H5800231P05,Vehicle Passenger
Y24H5800232P01,Train
Y24H5800232P02,Train
Y24H5800234P01,Vehicle Driver
Y24H5800235P01,Vehicle Driver
Y24H5800235P02,Tram
Y24H5800237P01,Vehicle Driver
Y24H5800237P02,Vehicle Driver
Y24H5800237P03,Vehicle Driver
Y24H5800237P04,Vehicle Driver
Y24H5800239P01,Public Bus
Y24H5800239P02,Vehicle Driver
Y24H5800239P03,Vehicle Passenger
Y24H5800239P04,Vehicle Passenger
Y24H5800242P01,Vehicle Driver
Y24H5800305P01,Tram
Y24H5800308P02,Walking
Y24H5800322P01,Walking
Y24H5800327P03,Train
Y24H5800338P01,Public Bus
Y24H5800338P03,Walking
Y24H5800339P01,Walking
Y24H5800339P02,Train
Y24H5800407P01,Vehicle Driver
Y24H5800407P02,Vehicle Driver
Y24H5800410P01,Vehicle Driver
Y24H5800410P02,Vehicle Driver
Y24H5800420P01,Vehicle Driver
Y24H5800421P01,Walking
Y24H5800421P02,Walking
Y24H5800438P01,Vehicle Passenger
Y24H5800438P02,Vehicle Driver
Y24H5800439P01,Vehicle Driver
Y24H5800439P02,Vehicle Driver
Y24H5800439P04,Vehicle Passenger
Y24H5800439P05,Vehicle Passenger
Y24H5800442P01,Vehicle Driver
Y24H5800529P01,Vehicle Driver
Y24H5800529P02,Vehicle Driver
Y24H5800534P01,Vehicle Driver
Y24H5800534P03,Vehicle Passenger
Y24H5800540P01,Vehicle Driver
Y24H5800540P02,Vehicle Passenger
Y24H5800540P03,Public Bus
Y24H5800540P04,Public Bus
Y24H5800540P05,Public Bus
Y24H5800542P01,Vehicle Passenger
Y24H5800542P02,Vehicle Driver
Y24H5810101P01,Vehicle Driver
Y24H5810101P02,Vehicle Driver
Y24H5810101P04,Vehicle Driver
Y24H5810101P05,Vehicle Passenger
Y24H5810102P01,Vehicle Driver
Y24H5810102P02,Vehicle Driver
Y24H5810102P04,Train
Y24H5810102P05,Vehicle Passenger
Y24H5810105P02,Vehicle Driver
Y24H5810108P01,Vehicle Driver
Y24H5810115P02,Vehicle Driver
Y24H5810115P03,Vehicle Driver
Y24H5810115P04,Vehicle Passenger
Y24H5810115P05,Vehicle Passenger
Y24H5810123P01,Vehicle Driver
Y24H5810123P02,Vehicle Passenger
Y24H5810123P03,Vehicle Passenger
Y24H5810123P04,Vehicle Passenger
Y24H5810126P01,Vehicle Driver
Y24H5810126P02,Vehicle Driver
Y24H5810126P03,Vehicle Passenger
Y24H5810126P04,Vehicle Passenger
Y24H5810129P01,Vehicle Driver
Y24H5810129P02,Vehicle Passenger
Y24H5810129P03,Vehicle Passenger
Y24H5810129P04,Vehicle Passenger
Y24H5810136P01,Vehicle Driver
